Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K),pH
0.0       ,0.0400      ,44.0857       ,0.0230      ,1500.2778   ,300.00      ,3.22  
1.0       ,0.0400      ,44.0694       ,0.0230      ,1500.5556   ,300.00      ,3.22  
2.0       ,0.0400      ,44.0531       ,0.0230      ,1500.8334   ,300.00      ,3.22  
3.0       ,0.0401      ,44.0368       ,0.0230      ,1501.1112   ,300.01      ,3.22  
4.0       ,0.0401      ,44.0205       ,0.0230      ,1501.3890   ,300.01      ,3.22  
5.0       ,0.0401      ,44.0042       ,0.0230      ,1501.6668   ,300.01      ,3.22  
6.0       ,0.0401      ,43.9880       ,0.0230      ,1501.9446   ,300.01      ,3.22  
7.0       ,0.0401      ,43.9717       ,0.0230      ,1502.2224   ,300.01      ,3.22  
8.0       ,0.0401      ,43.9554       ,0.0230      ,1502.5002   ,300.01      ,3.22  
9.0       ,0.0401      ,43.9392       ,0.0230      ,1502.7780   ,300.02      ,3.22  
10.0      ,0.0402      ,43.9230       ,0.0230      ,1503.0558   ,300.02      ,3.22  
11.0      ,0.0402      ,43.9068       ,0.0230      ,1503.3336   ,300.02      ,3.22  
12.0      ,0.0402      ,43.8906       ,0.0230      ,1503.6114   ,300.02      ,3.22  
13.0      ,0.0402      ,43.8743       ,0.0230      ,1503.8892   ,300.02      ,3.22  
14.0      ,0.0402      ,43.8582       ,0.0230      ,1504.1670   ,300.02      ,3.22  
15.0      ,0.0402      ,43.8420       ,0.0230      ,1504.4448   ,300.03      ,3.22  
16.0      ,0.0403      ,43.8258       ,0.0230      ,1504.7226   ,300.03      ,3.22  
17.0      ,0.0403      ,43.8096       ,0.0230      ,1505.0004   ,300.03      ,3.22  
18.0      ,0.0403      ,43.7935       ,0.0230      ,1505.2782   ,300.03      ,3.22  
19.0      ,0.0403      ,43.7773       ,0.0230      ,1505.5560   ,300.03      ,3.22  
20.0      ,0.0403      ,43.7612       ,0.0230      ,1505.8338   ,300.03      ,3.22  
21.0      ,0.0403      ,43.7451       ,0.0230      ,1506.1116   ,300.04      ,3.22  
22.0      ,0.0403      ,43.7289       ,0.0230      ,1506.3894   ,300.04      ,3.22  
23.0      ,0.0404      ,43.7128       ,0.0230      ,1506.6672   ,300.04      ,3.22  
24.0      ,0.0404      ,43.6967       ,0.0230      ,1506.9450   ,300.04      ,3.22  
25.0      ,0.0404      ,43.6806       ,0.0230      ,1507.2228   ,300.04      ,3.22  
26.0      ,0.0404      ,43.6645       ,0.0230      ,1507.5006   ,300.05      ,3.22  
27.0      ,0.0404      ,43.6485       ,0.0230      ,1507.7784   ,300.05      ,3.22  
28.0      ,0.0404      ,43.6324       ,0.0230      ,1508.0562   ,300.05      ,3.22  
29.0      ,0.0404      ,43.6163       ,0.0230      ,1508.3340   ,300.05      ,3.22  
30.0      ,0.0405      ,43.6003       ,0.0230      ,1508.6118   ,300.05      ,3.22  
31.0      ,0.0405      ,43.5842       ,0.0230      ,1508.8896   ,300.05      ,3.22  
32.0      ,0.0405      ,43.5682       ,0.0230      ,1509.1674   ,300.06      ,3.22  
33.0      ,0.0405      ,43.5522       ,0.0230      ,1509.4452   ,300.06      ,3.22  
34.0      ,0.0405      ,43.5362       ,0.0230      ,1509.7230   ,300.06      ,3.22  
35.0      ,0.0405      ,43.5202       ,0.0230      ,1510.0008   ,300.06      ,3.22  
36.0      ,0.0405      ,43.5042       ,0.0230      ,1510.2786   ,300.06      ,3.22  
37.0      ,0.0406      ,43.4882       ,0.0230      ,1510.5564   ,300.06      ,3.22  
38.0      ,0.0406      ,43.4722       ,0.0230      ,1510.8342   ,300.07      ,3.22  
39.0      ,0.0406      ,43.4562       ,0.0230      ,1511.1120   ,300.07      ,3.22  
40.0      ,0.0406      ,43.4403       ,0.0230      ,1511.3898   ,300.07      ,3.22  
41.0      ,0.0406      ,43.4243       ,0.0230      ,1511.6676   ,300.07      ,3.22  
42.0      ,0.0406      ,43.4084       ,0.0230      ,1511.9454   ,300.07      ,3.22  
43.0      ,0.0407      ,43.3924       ,0.0230      ,1512.2232   ,300.08      ,3.22  
44.0      ,0.0407      ,43.3765       ,0.0230      ,1512.5010   ,300.08      ,3.22  
45.0      ,0.0407      ,43.3606       ,0.0230      ,1512.7788   ,300.08      ,3.22  
46.0      ,0.0407      ,43.3447       ,0.0230      ,1513.0566   ,300.08      ,3.22  
47.0      ,0.0407      ,43.3288       ,0.0230      ,1513.3344   ,300.08      ,3.22  
48.0      ,0.0407      ,43.3129       ,0.0229      ,1513.6122   ,300.08      ,3.22  
49.0      ,0.0407      ,43.2970       ,0.0229      ,1513.8900   ,300.09      ,3.22  
50.0      ,0.0408      ,43.2811       ,0.0229      ,1514.1678   ,300.09      ,3.22  
51.0      ,0.0408      ,43.2653       ,0.0229      ,1514.4456   ,300.09      ,3.22  
52.0      ,0.0408      ,43.2494       ,0.0229      ,1514.7234   ,300.09      ,3.22  
53.0      ,0.0408      ,43.2336       ,0.0229      ,1515.0012   ,300.09      ,3.22  
54.0      ,0.0408      ,43.2177       ,0.0229      ,1515.2790   ,300.09      ,3.22  
55.0      ,0.0408      ,43.2019       ,0.0229      ,1515.5568   ,300.10      ,3.22  
56.0      ,0.0408      ,43.1861       ,0.0229      ,1515.8346   ,300.10      ,3.22  
57.0      ,0.0409      ,43.1703       ,0.0229      ,1516.1124   ,300.10      ,3.22  
58.0      ,0.0409      ,43.1544       ,0.0229      ,1516.3902   ,300.10      ,3.22  
59.0      ,0.0409      ,43.1387       ,0.0229      ,1516.6680   ,300.10      ,3.23  
60.0      ,0.0409      ,43.1229       ,0.0229      ,1516.9458   ,300.10      ,3.23  
61.0      ,0.0409      ,43.1071       ,0.0229      ,1517.2236   ,300.11      ,3.23  
62.0      ,0.0409      ,43.0913       ,0.0229      ,1517.5014   ,300.11      ,3.23  
63.0      ,0.0410      ,43.0756       ,0.0229      ,1517.7792   ,300.11      ,3.23  
64.0      ,0.0410      ,43.0598       ,0.0229      ,1518.0570   ,300.11      ,3.23  
65.0      ,0.0410      ,43.0441       ,0.0229      ,1518.3348   ,300.11      ,3.23  
66.0      ,0.0410      ,43.0283       ,0.0229      ,1518.6126   ,300.12      ,3.23  
67.0      ,0.0410      ,43.0126       ,0.0229      ,1518.8904   ,300.12      ,3.23  
68.0      ,0.0410      ,42.9969       ,0.0229      ,1519.1682   ,300.12      ,3.23  
69.0      ,0.0410      ,42.9812       ,0.0229      ,1519.4460   ,300.12      ,3.23  
70.0      ,0.0411      ,42.9655       ,0.0229      ,1519.7238   ,300.12      ,3.23  
71.0      ,0.0411      ,42.9498       ,0.0229      ,1520.0016   ,300.12      ,3.23  
72.0      ,0.0411      ,42.9341       ,0.0229      ,1520.2794   ,300.13      ,3.23  
73.0      ,0.0411      ,42.9184       ,0.0229      ,1520.5572   ,300.13      ,3.23  
74.0      ,0.0411      ,42.9028       ,0.0229      ,1520.8350   ,300.13      ,3.23  
75.0      ,0.0411      ,42.8871       ,0.0229      ,1521.1128   ,300.13      ,3.23  
76.0      ,0.0411      ,42.8714       ,0.0229      ,1521.3906   ,300.13      ,3.23  
77.0      ,0.0412      ,42.8558       ,0.0229      ,1521.6684   ,300.13      ,3.23  
78.0      ,0.0412      ,42.8402       ,0.0229      ,1521.9462   ,300.14      ,3.23  
79.0      ,0.0412      ,42.8246       ,0.0229      ,1522.2240   ,300.14      ,3.23  
80.0      ,0.0412      ,42.8089       ,0.0229      ,1522.5018   ,300.14      ,3.23  
81.0      ,0.0412      ,42.7933       ,0.0229      ,1522.7796   ,300.14      ,3.23  
82.0      ,0.0412      ,42.7777       ,0.0229      ,1523.0574   ,300.14      ,3.23  
83.0      ,0.0413      ,42.7621       ,0.0229      ,1523.3352   ,300.14      ,3.23  
84.0      ,0.0413      ,42.7466       ,0.0229      ,1523.6130   ,300.15      ,3.23  
85.0      ,0.0413      ,42.7310       ,0.0229      ,1523.8908   ,300.15      ,3.23  
86.0      ,0.0413      ,42.7154       ,0.0229      ,1524.1686   ,300.15      ,3.23  
87.0      ,0.0413      ,42.6999       ,0.0229      ,1524.4464   ,300.15      ,3.23  
88.0      ,0.0413      ,42.6843       ,0.0229      ,1524.7242   ,300.15      ,3.23  
89.0      ,0.0413      ,42.6688       ,0.0229      ,1525.0020   ,300.16      ,3.23  
90.0      ,0.0414      ,42.6533       ,0.0229      ,1525.2798   ,300.16      ,3.23  
91.0      ,0.0414      ,42.6377       ,0.0229      ,1525.5576   ,300.16      ,3.23  
92.0      ,0.0414      ,42.6222       ,0.0229      ,1525.8354   ,300.16      ,3.23  
93.0      ,0.0414      ,42.6067       ,0.0229      ,1526.1132   ,300.16      ,3.23  
94.0      ,0.0414      ,42.5912       ,0.0229      ,1526.3910   ,300.16      ,3.23  
95.0      ,0.0414      ,42.5757       ,0.0229      ,1526.6688   ,300.17      ,3.23  
96.0      ,0.0414      ,42.5603       ,0.0229      ,1526.9466   ,300.17      ,3.23  
97.0      ,0.0415      ,42.5448       ,0.0229      ,1527.2244   ,300.17      ,3.23  
98.0      ,0.0415      ,42.5293       ,0.0229      ,1527.5022   ,300.17      ,3.23  
99.0      ,0.0415      ,42.5139       ,0.0229      ,1527.7800   ,300.17      ,3.23  
100.0     ,0.0415      ,42.4984       ,0.0229      ,1528.0578   ,300.17      ,3.23  
101.0     ,0.0415      ,42.4830       ,0.0229      ,1528.3356   ,300.18      ,3.23  
102.0     ,0.0415      ,42.4676       ,0.0229      ,1528.6134   ,300.18      ,3.23  
103.0     ,0.0416      ,42.4522       ,0.0229      ,1528.8912   ,300.18      ,3.23  
104.0     ,0.0416      ,42.4367       ,0.0229      ,1529.1690   ,300.18      ,3.23  
105.0     ,0.0416      ,42.4213       ,0.0229      ,1529.4468   ,300.18      ,3.23  
106.0     ,0.0416      ,42.4059       ,0.0229      ,1529.7246   ,300.18      ,3.23  
107.0     ,0.0416      ,42.3906       ,0.0229      ,1530.0024   ,300.19      ,3.23  
108.0     ,0.0416      ,42.3752       ,0.0229      ,1530.2802   ,300.19      ,3.23  
109.0     ,0.0416      ,42.3598       ,0.0229      ,1530.5580   ,300.19      ,3.23  
110.0     ,0.0417      ,42.3444       ,0.0229      ,1530.8358   ,300.19      ,3.23  
111.0     ,0.0417      ,42.3291       ,0.0229      ,1531.1136   ,300.19      ,3.23  
112.0     ,0.0417      ,42.3138       ,0.0229      ,1531.3914   ,300.20      ,3.23  
113.0     ,0.0417      ,42.2984       ,0.0229      ,1531.6692   ,300.20      ,3.23  
114.0     ,0.0417      ,42.2831       ,0.0229      ,1531.9470   ,300.20      ,3.23  
115.0     ,0.0417      ,42.2678       ,0.0229      ,1532.2248   ,300.20      ,3.23  
116.0     ,0.0418      ,42.2525       ,0.0229      ,1532.5026   ,300.20      ,3.23  
117.0     ,0.0418      ,42.2372       ,0.0229      ,1532.7804   ,300.20      ,3.23  
118.0     ,0.0418      ,42.2219       ,0.0229      ,1533.0582   ,300.21      ,3.23  
119.0     ,0.0418      ,42.2066       ,0.0228      ,1533.3360   ,300.21      ,3.23  
120.0     ,0.0418      ,42.1913       ,0.0228      ,1533.6138   ,300.21      ,3.23  
121.0     ,0.0418      ,42.1760       ,0.0228      ,1533.8916   ,300.21      ,3.23  
122.0     ,0.0418      ,42.1608       ,0.0228      ,1534.1694   ,300.21      ,3.24  
123.0     ,0.0419      ,42.1455       ,0.0228      ,1534.4472   ,300.21      ,3.24  
124.0     ,0.0419      ,42.1303       ,0.0228      ,1534.7250   ,300.22      ,3.24  
125.0     ,0.0419      ,42.1150       ,0.0228      ,1535.0028   ,300.22      ,3.24  
126.0     ,0.0419      ,42.0998       ,0.0228      ,1535.2806   ,300.22      ,3.24  
127.0     ,0.0419      ,42.0846       ,0.0228      ,1535.5584   ,300.22      ,3.24  
128.0     ,0.0419      ,42.0694       ,0.0228      ,1535.8362   ,300.22      ,3.24  
129.0     ,0.0419      ,42.0542       ,0.0228      ,1536.1140   ,300.23      ,3.24  
130.0     ,0.0420      ,42.0390       ,0.0228      ,1536.3918   ,300.23      ,3.24  
131.0     ,0.0420      ,42.0238       ,0.0228      ,1536.6696   ,300.23      ,3.24  
132.0     ,0.0420      ,42.0086       ,0.0228      ,1536.9474   ,300.23      ,3.24  
133.0     ,0.0420      ,41.9935       ,0.0228      ,1537.2252   ,300.23      ,3.24  
134.0     ,0.0420      ,41.9783       ,0.0228      ,1537.5030   ,300.23      ,3.24  
135.0     ,0.0420      ,41.9631       ,0.0228      ,1537.7808   ,300.24      ,3.24  
136.0     ,0.0421      ,41.9480       ,0.0228      ,1538.0586   ,300.24      ,3.24  
137.0     ,0.0421      ,41.9329       ,0.0228      ,1538.3364   ,300.24      ,3.24  
138.0     ,0.0421      ,41.9177       ,0.0228      ,1538.6142   ,300.24      ,3.24  
139.0     ,0.0421      ,41.9026       ,0.0228      ,1538.8920   ,300.24      ,3.24  
140.0     ,0.0421      ,41.8875       ,0.0228      ,1539.1698   ,300.24      ,3.24  
141.0     ,0.0421      ,41.8724       ,0.0228      ,1539.4476   ,300.25      ,3.24  
142.0     ,0.0421      ,41.8573       ,0.0228      ,1539.7254   ,300.25      ,3.24  
143.0     ,0.0422      ,41.8422       ,0.0228      ,1540.0032   ,300.25      ,3.24  
144.0     ,0.0422      ,41.8271       ,0.0228      ,1540.2810   ,300.25      ,3.24  
145.0     ,0.0422      ,41.8121       ,0.0228      ,1540.5588   ,300.25      ,3.24  
146.0     ,0.0422      ,41.7970       ,0.0228      ,1540.8366   ,300.25      ,3.24  
147.0     ,0.0422      ,41.7819       ,0.0228      ,1541.1144   ,300.26      ,3.24  
148.0     ,0.0422      ,41.7669       ,0.0228      ,1541.3922   ,300.26      ,3.24  
149.0     ,0.0423      ,41.7518       ,0.0228      ,1541.6700   ,300.26      ,3.24  
150.0     ,0.0423      ,41.7368       ,0.0228      ,1541.9478   ,300.26      ,3.24  
151.0     ,0.0423      ,41.7218       ,0.0228      ,1542.2256   ,300.26      ,3.24  
152.0     ,0.0423      ,41.7068       ,0.0228      ,1542.5034   ,300.27      ,3.24  
153.0     ,0.0423      ,41.6918       ,0.0228      ,1542.7812   ,300.27      ,3.24  
154.0     ,0.0423      ,41.6768       ,0.0228      ,1543.0590   ,300.27      ,3.24  
155.0     ,0.0423      ,41.6618       ,0.0228      ,1543.3368   ,300.27      ,3.24  
156.0     ,0.0424      ,41.6468       ,0.0228      ,1543.6146   ,300.27      ,3.24  
157.0     ,0.0424      ,41.6318       ,0.0228      ,1543.8924   ,300.27      ,3.24  
158.0     ,0.0424      ,41.6169       ,0.0228      ,1544.1702   ,300.28      ,3.24  
159.0     ,0.0424      ,41.6019       ,0.0228      ,1544.4480   ,300.28      ,3.24  
160.0     ,0.0424      ,41.5870       ,0.0228      ,1544.7258   ,300.28      ,3.24  
161.0     ,0.0424      ,41.5720       ,0.0228      ,1545.0036   ,300.28      ,3.24  
162.0     ,0.0425      ,41.5571       ,0.0228      ,1545.2814   ,300.28      ,3.24  
163.0     ,0.0425      ,41.5422       ,0.0228      ,1545.5592   ,300.28      ,3.24  
164.0     ,0.0425      ,41.5272       ,0.0228      ,1545.8370   ,300.29      ,3.24  
165.0     ,0.0425      ,41.5123       ,0.0228      ,1546.1148   ,300.29      ,3.24  
166.0     ,0.0425      ,41.4974       ,0.0228      ,1546.3926   ,300.29      ,3.24  
167.0     ,0.0425      ,41.4825       ,0.0228      ,1546.6704   ,300.29      ,3.24  
168.0     ,0.0425      ,41.4677       ,0.0228      ,1546.9482   ,300.29      ,3.24  
169.0     ,0.0426      ,41.4528       ,0.0228      ,1547.2260   ,300.29      ,3.24  
170.0     ,0.0426      ,41.4379       ,0.0228      ,1547.5038   ,300.30      ,3.24  
171.0     ,0.0426      ,41.4230       ,0.0228      ,1547.7816   ,300.30      ,3.24  
172.0     ,0.0426      ,41.4082       ,0.0228      ,1548.0594   ,300.30      ,3.24  
173.0     ,0.0426      ,41.3933       ,0.0227      ,1548.3372   ,300.30      ,3.24  
